stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share,Closing Price Before Release,Closing Price After Release,Price Change (%),Quarterly Returns,Quarter_label
NVDA,2020-12-31,5003,3157,1507,1471,1457,1457,1795,1507,2510,0.58,28791,11898,16893,-1404,4.0904,63.1021,29.1225,30.1219,8.6249,5.0606,6.3744,0.7153,525.83,524.54,-0.2453264363007202,-0.002453264363007202,2020Q4
NVDA,2020-09-30,4726,2960,1398,1348,1336,1336,1697,1398,2520,0.53,26881,11547,15334,-1023,3.9229,62.6322,28.2692,29.581,8.7127,4.9701,6.2732,0.3145,529.03,544.58,2.9393418142638543,0.029393418142638544,2020Q3
NVDA,2020-06-30,3866,2275,651,609,622,622,1055,651,2504,0.25,25180,11266,13914,-12220,6.0917,58.8464,16.089,16.8391,4.4703,2.4702,2.9798,0.5372,368.0,381.2,3.5869565217391273,0.03586956521739127,2020Q2
NVDA,2020-03-31,3080,2004,976,981,917,917,1083,976,2488,0.37,23254,10155,13099,4598,10.2911,65.0649,29.7727,31.6883,7.0005,3.9434,4.5717,0.3031,265.59,243.07,-8.479234910952966,-0.08479234910952967,2020Q1
NVDA,2019-12-31,3105,2015,990,1016,951,951,1096,990,2472,0.38,17315,5111,12204,1131,7.6738,64.8953,30.628,31.8841,7.7925,5.4923,6.6995,0.534,232.32,239.91,3.267045454545456,0.03267045454545456,2019Q4
NVDA,2019-09-30,3014,1916,927,959,899,899,1019,927,2472,0.36,15810,4596,11214,2660,8.4203,63.57,29.8275,30.7565,8.0168,5.6863,6.8085,0.6199,171.76,174.0,1.3041453190498424,0.013041453190498424,2019Q3
NVDA,2019-06-30,2579,1541,571,606,552,552,663,571,2464,0.23,14775,4439,10336,4333,8.6492,59.7519,21.4036,22.1404,5.3406,3.736,4.4787,0.334,164.23,166.17,1.1812701698836983,0.011812701698836983,2019Q2
NVDA,2019-03-31,2220,1296,358,389,394,394,449,358,2464,0.16,14021,4317,9704,1990,8.9848,58.3784,17.7478,16.1261,4.0602,2.8101,3.3698,0.2403,179.56,182.28,1.5148139897527284,0.015148139897527283,2019Q1
TSLA,2023-12-31,25167,4438,2064,2191,7943,7925,3296,2064,3485,2.26,109226,44119,65107,599,1.7259,17.6342,31.4897,8.2012,12.5349,7.45,11.9941,0.5938,248.48,248.42,-0.02414681262073498,-0.0002414681262073498,2023Q4
TSLA,2023-09-30,23350,4178,1764,2045,1878,1853,2999,1764,3493,0.53,106618,43251,63367,711,1.6902,17.8929,7.9358,7.5546,3.4638,1.9991,3.3154,0.2409,250.22,251.6,0.5515146670929564,0.005515146670929564,2023Q3
TSLA,2023-06-30,24927,4533,2399,2937,2614,2703,3553,2399,3478,0.78,93941,39723,54218,-891,1.5901,18.1851,10.8437,9.6241,5.0372,2.8855,4.9539,0.2886,257.5,279.82,8.66796116504854,0.0866796116504854,2023Q2
TSLA,2023-03-31,23329,4511,2664,2800,2539,2518,3710,2664,3468,0.73,90591,38697,51894,-154,1.5672,19.3365,10.7934,11.4193,5.1999,2.924,5.0679,0.1272,195.28,194.77,-0.26116345759933984,-0.0026116345759933986,2023Q1
TSLA,2022-12-31,24318,5777,3901,3983,3707,3719,4890,3901,3475,1.07,86833,38005,48828,-3225,1.532,23.7561,15.2932,16.0416,8.1492,4.5022,7.8728,0.4045,123.18,108.1,-12.242247118038652,-0.12242247118038652,2022Q4
TSLA,2022-09-30,21454,5382,3688,3636,3331,3292,4644,3688,3468,0.95,82338,36849,45489,1262,1.4624,25.0862,15.3445,17.1903,8.1837,4.4756,7.7829,0.9494,268.21,242.4,-9.623056560158076,-0.09623056560158076,2022Q3
TSLA,2022-06-30,16934,4234,2464,2474,2269,2259,3386,2464,3464,0.65,74426,33723,40703,847,1.4308,25.003,13.34,14.5506,6.0934,3.3118,5.6534,0.451,685.47,681.79,-0.5368579223014958,-0.005368579223014958,2022Q2
TSLA,2022-03-31,18756,5460,3603,3626,3280,3313,4483,3603,3472,0.95,68513,31276,37237,-104,1.354,29.1107,17.6637,19.2099,9.3856,4.9668,8.6089,0.6417,1093.99,1084.59,-0.8592400296163668,-0.008592400296163668,2022Q1
TSLA,2021-12-31,17719,4847,2613,2635,2343,2326,3461,2613,3386,0.68,66038,31091,34947,1450,1.3753,27.3548,13.1272,14.7469,7.5544,3.7711,6.4617,0.818,1070.34,1199.78,12.093353513836732,0.12093353513836731,2021Q4
TSLA,2021-09-30,13757,3660,2004,1882,1659,1618,2765,2004,3369,0.48,62131,31116,31015,-131,1.3851,26.6046,11.7613,14.5671,5.9486,2.8686,4.8329,0.3945,781.31,775.22,-0.7794601374614326,-0.007794601374614326,2021Q3
TSLA,2021-06-30,11958,2884,1312,1293,1178,1142,1993,1312,3357,0.34,57834,29945,27889,-898,1.5083,24.1178,9.5501,10.9171,4.5935,2.1361,3.5147,0.181,680.76,677.92,-0.4171807979317281,-0.0041718079793172805,2021Q2
TSLA,2021-03-31,10389,2215,594,533,464,438,1215,594,3399,0.13,55146,29501,25645,-2178,1.6606,21.3206,4.216,5.7176,1.9444,0.8759,1.4096,-0.2751,635.62,661.75,4.110946792108492,0.04110946792108492,2021Q1
TSLA,2020-12-31,10744,2066,575,379,296,270,1193,575,3249,0.08,52972,29108,23864,4898,1.8751,19.2293,2.513,5.3518,1.2828,0.5676,0.9057,0.5806,694.78,729.77,5.036126543654108,0.050361265436541076,2020Q4
TSLA,2020-09-30,8771,2063,809,555,369,300,1393,809,3315,0.09,52148,29073,23075,5897,1.6346,23.5207,3.4204,9.2236,2.1845,0.8076,1.3419,0.4304,419.07,448.16,6.941561075715281,0.06941561075715282,2020Q3
TSLA,2020-06-30,6036,1267,327,150,129,104,894,327,3108,0.03,45691,28799,16892,559,1.2499,20.9907,1.723,5.4175,1.2029,0.3383,0.609,0.1466,1009.35,1119.63,10.925843364541544,0.10925843364541545,2020Q2
TSLA,2020-03-31,5985,1234,283,70,68,16,836,283,2982,0.01,38135,27411,10724,1764,1.2425,20.6182,0.2673,4.7285,0.6773,0.1826,0.3275,-0.3001,502.13,481.56,-4.096548702527233,-0.04096548702527233,2020Q1
TSLA,2019-12-31,7384,1391,359,174,132,113,798,359,2661,0.05,37250,27210,10040,957,1.1346,18.838,1.5303,4.8619,1.7678,0.3847,0.6911,0.3816,414.7,430.26,3.752109959006512,0.03752109959006512,2019Q4
TSLA,2019-09-30,6303,1191,261,176,150,143,847,261,2766,0.05,34309,26842,7467,377,1.0783,18.8958,2.2688,4.1409,2.1796,0.4574,0.8244,0.1388,242.13,244.69,1.0572832775781615,0.010572832775781615,2019Q3
TSLA,2019-06-30,6350,921,-167,-370,-389,-408,454,-167,2655,-0.15,32795,25913,6882,2766,1.0619,14.5039,-6.4252,-2.6299,-5.9206,-1.2205,-2.1848,0.2392,223.46,227.17,1.6602523941644944,0.016602523941644944,2019Q2
TSLA,2019-03-31,4541,566,-522,-645,-668,-710,-14,-522,2595,-0.27,31872,25302,6570,-1594,0.8307,12.4642,-15.6353,-11.4953,-12.2174,-2.3104,-4.3787,-0.3545,279.86,289.18,3.3302365468448483,0.03330236546844848,2019Q1
AMZN,2023-12-31,169961,77408,13209,13686,10624,10624,27029,13209,10492,1.0,527854,325979,201875,23809,1.0451,45.5446,6.2508,7.7718,5.2627,2.0127,4.0832,2.7793,151.94,149.93,-1.3228906147163295,-0.013228906147163294,2023Q4
AMZN,2023-09-30,143083,68061,11188,12189,9883,9879,23319,11188,10558,0.94,486883,303910,182973,14,0.9847,47.5675,6.9044,7.8192,5.3992,2.029,4.0476,0.9417,127.12,129.46,1.8407803650094428,0.018407803650094427,2023Q3
AMZN,2023-06-30,134383,65010,7681,7563,6759,6750,19270,7681,10449,0.65,477607,309005,168602,333,0.9477,48.3767,5.023,5.7158,4.0035,1.4133,2.9133,0.5881,127.9,130.22,1.813917122752145,0.01813917122752145,2023Q2
